Position,Team,Points
1,Spain,1533
2,Germany,1384
3,Portugal,1346
4,Colombia,1306
5,Uruguay,1254
6,Argentine,1179
7,Brazil,1166
8,Swiss,1162
9,Italia,1146
10,Greece,1118
11,England,1106
12,Belgium,1054
13,America,1040
14,Chile,1012
15,Netherlands,1008
16,France,989
17,Ukraine,976
18,Russia,975
19,Mexico,969
20,Croatia,947
21,Cote Divoire,931
22,Scotland,930
23,Denmark,889
24,Egypt,880
25,Bosnia Herzegovina,858
26,Sweden,841
27,Algeria,837
28,Ecuador,825
29,Slovenia,786
30,Serbia,777
31,Romania,776
32,Honduras,737
33,Armenia,737
34,Costa Rica,735
35,Panama,732
36,Czech,727
37,Iran,714
38,Ghana,711
39,Turkey,709
40,Austria,700
41,Venezuela,688
42,Cape Verde,681
43,Peru,671
44,Hungary,657
45,Nigeria,647
46,Slovakia,636
47,Wales,635
48,Japan,612
49,Tunisia,608
50,Cameroon,604
51,Guinea,603
52,Finland,603
53,Uzbekistan,591
54,Montenegro,583
55,Paraguay,575
56,Norway,549
57,South Korea,548
58,Iceland,545
59,Australia,530
60,Mali,528
61,Burkina Faso,520
62,Libya,516
63,Senegal,507
64,Jordan,506
65,Ireland,495
66,South Africa,493
67,Uae,462
68,Bolivia,458
69,El Salvador,450
70,Albania,445
71,Sierra Leone,439
72,Poland,433
73,Bulgaria,431
74,Zambia,426
75,Saudi Arabia,424
76,Trinidad And Tobago,423
77,Morocco,422
78,Israel,413
79,Haiti,410
80,Macedonia,407
81,Oman,405
82,Jamaica,404
83,Belarus,401
84,Northern Ireland,401
85,Azerbaijan,392
86,Uganda,386
87,Gabon,383
88,Dr Congo,381
89,Togo,381
90,Cuba,379
91,Botswana,378
92,Congo,374
93,Estonia,374
94,Angola,364
95,Qatar,364
96,China,362
97,Benin,354
98,Zimbabwe,347
99,Moldova,347
100,Iraq,341
