Round Number,Date,Location,Home Team,Away Team,Group,Result
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",Germany,Bolivia,Group A,
1,15/06/2018 15:00,Ekaterinburg Stadium,South Korea,Spain,Group A,
1,15/06/2018 18:00,Saint Petersburg Stadium,Switzerland,United States,Group B,
1,15/06/2018 21:00,"Fisht Stadium, Sochi",Republic of Ireland,Italy,Group B,
1,16/06/2018 13:00,Kazan Arena,Romania,Colombia,Group C,
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Belgium,Morocco,Group D,
1,16/06/2018 19:00,Saransk Stadium,Norway,Mexico,Group C,
1,16/06/2018 22:00,Kaliningrad Stadium,Cameroon,Sweden,Group D,
1,17/06/2018 15:00,Samara Stadium,Brazil,Russia,Group E,
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",Netherlands,Saudi Arabia,Group F,
1,17/06/2018 21:00,Rostov-on-Don Stadium,Argentina,Greece,Group E,
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Germany,Spain,Group F,
1,18/06/2018 18:00,"Fisht Stadium, Sochi",Nigeria,Bulgaria,Group G,
1,18/06/2018 21:00,Volgograd Stadium,Switzerland,Romania,Group G,
1,19/06/2018 15:00,Saransk Stadium,United States,Colombia,Group H,
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Italy,Norway,Group H,
2,19/06/2018 21:00,Saint Petersburg Stadium,Bolivia,South Korea,Group A,
2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Mexico,Republic of Ireland,Group B,
2,20/06/2018 18:00,Rostov-on-Don Stadium,Brazil,Cameroon,Group A,
2,20/06/2018 21:00,Kazan Arena,Sweden,Russia,Group B,
2,21/06/2018 15:00,Samara Stadium,Belgium,Netherlands,Group C,
2,21/06/2018 18:00,Ekaterinburg Stadium,Saudi Arabia,Morocco,Group C,
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Argentina,Nigeria,Group D,
2,22/06/2018 15:00,Saint Petersburg Stadium,Bulgaria,Greece,Group E,
2,22/06/2018 18:00,Volgograd Stadium,Colombia,Switzerland,Group D,
2,22/06/2018 21:00,Kaliningrad Stadium,Romania,United States,Group E,
2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Germany,South Korea,Group G,
2,23/06/2018 18:00,Rostov-on-Don Stadium,Spain,Bolivia,Group F,
2,23/06/2018 21:00,"Fisht Stadium, Sochi",Norway,Republic of Ireland,Group F,
2,24/06/2018 15:00,Nizhny Novgorod Stadium,Italy,Mexico,Group G,
2,24/06/2018 18:00,Ekaterinburg Stadium,Russia,Cameroon,Group H,
2,24/06/2018 21:00,Kazan Arena,Brazil,Sweden,Group H,
3,25/06/2018 17:00,Samara Stadium,Netherlands,Morocco,Group A,
3,25/06/2018 17:00,Volgograd Stadium,Saudi Arabia,Belgium,Group A,
3,25/06/2018 21:00,Saransk Stadium,Bulgaria,Argentina,Group B,
3,25/06/2018 21:00,Kaliningrad Stadium,Nigeria,Greece,Group B,
3,26/06/2018 17:00,"Luzhniki Stadium, Moscow",Germany,Belgium,Group C,
3,26/06/2018 17:00,"Fisht Stadium, Sochi",Spain,Switzerland,Group C,
3,26/06/2018 21:00,Saint Petersburg Stadium,Sweden,Saudi Arabia,Group D,
3,26/06/2018 21:00,Rostov-on-Don Stadium,Romania,Argentina,Group D,
3,27/06/2018 17:00,Ekaterinburg Stadium,Netherlands,Republic of Ireland,Group F,
3,27/06/2018 17:00,Kazan Arena,Brazil,United States,Group F,
3,27/06/2018 21:00,"Otkrytiye Arena, Moscow",Italy,Nigeria,Group E,
3,27/06/2018 21:00,Nizhny Novgorod Stadium,Bulgaria,Mexico,Group E,
3,28/06/2018 17:00,Volgograd Stadium,Italy,Spain,Group H,
3,28/06/2018 17:00,Samara Stadium,Brazil,Netherlands,Group H,
3,28/06/2018 21:00,Saransk Stadium,Bulgaria,Germany,Group G,
3,28/06/2018 21:00,Kaliningrad Stadium,Sweden,Romania,Group G,
3,30/06/2018 21:00,"Fisht Stadium, Sochi",Brazil,Sweden,Group G,
3,30/06/2018 21:00,Kazan Arena,Italy,Bulgaria,Group G,
3,1/7/2018 17:00,"Luzhniki Stadium, Moscow",Sweden,Bulgaria,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,Italy,Group G,
